,recency,frequency,monetary,monetary,count
,mean,mean,mean,sum,count
segment,,,,,
about to sleep,183.35714285714286,1.0,1927.2142857142858,107924,56
at risk,298.1923076923077,1.0,4518.615384615385,117484,26
hibernating,251.19354838709677,1.0,3108.451612903226,96362,31
lost,305.2247191011236,1.0,1755.3258426966293,156224,89
need attention,181.8235294117647,1.0,4515.470588235294,76763,17
new customers,35.61538461538461,1.0,881.7307692307693,22925,26
potential loyalists,73.1086956521739,1.0,3561.5652173913045,327664,92
promising,109.96428571428571,1.0,1078.3214285714287,30193,28
