id,country,recency,frequency,monetary,r,f,m,rfm_score,fm,segment,cluster
1,South,1000,1,4207,1,1,5,115,3,at risk,0
2,East,999,1,1441,1,1,2,112,1,lost,2
3,North,998,1,3763,1,1,4,114,2,lost,0
4,North,997,1,315,1,1,1,111,1,lost,2
5,North,996,1,438,1,1,1,111,1,lost,2
6,North,995,1,4162,1,1,5,115,3,at risk,0
7,West,994,1,2808,1,1,3,113,2,lost,0
8,North,993,1,3252,1,1,4,114,2,lost,0
9,West,992,1,1850,1,1,2,112,1,lost,2
10,West,991,1,2521,1,1,3,113,2,lost,2
11,North,990,1,809,1,1,1,111,1,lost,2
12,North,989,1,3826,1,1,4,114,2,lost,0
13,South,988,1,3742,1,1,4,114,2,lost,0
14,East,987,1,4093,1,1,5,115,3,at risk,0
15,North,986,1,588,1,1,1,111,1,lost,2
16,South,985,1,146,1,1,1,111,1,lost,2
17,South,984,1,3459,1,1,4,114,2,lost,0
18,East,983,1,4973,1,1,5,115,3,at risk,0
19,West,982,1,4906,1,1,5,115,3,at risk,0
20,North,981,1,500,1,1,1,111,1,lost,2
21,East,980,1,4090,1,1,5,115,3,at risk,0
22,North,979,1,3257,1,1,4,114,2,lost,0
23,South,978,1,4445,1,1,5,115,3,at risk,0
24,South,977,1,490,1,1,1,111,1,lost,2
25,West,976,1,3953,1,1,4,114,2,lost,0
26,South,975,1,4530,1,1,5,115,3,at risk,0
27,South,974,1,728,1,1,1,111,1,lost,2
28,East,973,1,4332,1,1,5,115,3,at risk,0
29,North,972,1,3030,1,1,3,113,2,lost,0
30,North,971,1,1621,1,1,2,112,1,lost,2
31,East,970,1,926,1,1,1,111,1,lost,2
32,West,969,1,4922,1,1,5,115,3,at risk,0
33,North,968,1,1600,1,1,2,112,1,lost,2
34,South,967,1,3394,1,1,4,114,2,lost,0
35,North,966,1,2519,1,1,3,113,2,lost,2
36,South,965,1,1034,1,1,2,112,1,lost,2
37,West,964,1,3142,1,1,4,114,2,lost,0
38,East,963,1,4597,1,1,5,115,3,at risk,0
39,North,962,1,1566,1,1,2,112,1,lost,2
40,East,961,1,3661,1,1,4,114,2,lost,0
41,North,960,1,714,1,1,1,111,1,lost,2
42,South,959,1,1282,1,1,2,112,1,lost,2
43,East,958,1,3323,1,1,4,114,2,lost,0
44,North,957,1,2767,1,1,3,113,2,lost,0
45,South,956,1,230,1,1,1,111,1,lost,2
46,East,955,1,3083,1,1,4,114,2,lost,0
47,East,954,1,4378,1,1,5,115,3,at risk,0
48,North,953,1,4559,1,1,5,115,3,at risk,0
49,North,952,1,138,1,1,1,111,1,lost,2
50,North,951,1,4059,1,1,5,115,3,at risk,0
51,South,950,1,3687,1,1,4,114,2,lost,0
52,North,949,1,1020,1,1,1,111,1,lost,2
